ID_FUNKTION_NEW,ID_EINSITZ_NEW,ID_PERSON_NEW,ID_PERSON,FUNKTIONSBEZEICHNUNG,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
569_EINSITZ_1_FUNKTION_1,569_EINSITZ_1,569,Vontobel_Jürg_P._1939__,,,,,,,
575_EINSITZ_1_FUNKTION_1,575_EINSITZ_1,575,Wintsch_Hans-Ulrich_1932__,,,,,,,
580_EINSITZ_1_FUNKTION_1,580_EINSITZ_1,580,Tanner_Paul_1919__,,,,,,,
584_EINSITZ_1_FUNKTION_1,584_EINSITZ_1,584,Grossmann_Marcel_1904__,,,,,,,
586_EINSITZ_1_FUNKTION_1,586_EINSITZ_1,586,Mettler_Hans_1897__,,,,,,,
587_EINSITZ_1_FUNKTION_1,587_EINSITZ_1,587,Meyer_Rolf_1910__,,,,,,,
588_EINSITZ_1_FUNKTION_1,588_EINSITZ_1,588,Pesch_Fritz_1905__,,,,,,,
599_EINSITZ_1_FUNKTION_1,599_EINSITZ_1,599,Breny_Walter_1898__,,,,,,,
612_EINSITZ_1_FUNKTION_1,612_EINSITZ_1,612,Attinger_Albert_1902__,,,,,,,
613_EINSITZ_1_FUNKTION_1,613_EINSITZ_1,613,Eberhard_Johann_1888__,,,,,,,
615_EINSITZ_1_FUNKTION_1,615_EINSITZ_1,615,Stalder_Arthur_1898__,,,,,,,
624_EINSITZ_1_FUNKTION_1,624_EINSITZ_1,624,Ehrsam_Armin_1880__,,,,,,,
642_EINSITZ_1_FUNKTION_1,642_EINSITZ_1,642,Büchi_Ernst_1928__,,,,,,,
643_EINSITZ_1_FUNKTION_1,643_EINSITZ_1,643,Gerber_Rolf_1952__,,,,,,,
656_EINSITZ_1_FUNKTION_1,656_EINSITZ_1,656,Diethelm_Michael_1962__,,,,,,,
659_EINSITZ_1_FUNKTION_1,659_EINSITZ_1,659,Stadler_Xaver_1933__,,,,,,,
660_EINSITZ_1_FUNKTION_1,660_EINSITZ_1,660,Steiner_Bruno_1948__,,,,,,,
662_EINSITZ_1_FUNKTION_1,662_EINSITZ_1,662,Baumann_Otto_1936__,,,,,,,
680_EINSITZ_1_FUNKTION_1,680_EINSITZ_1,680,Staubli_Walter_1917__,,,,,,,
687_EINSITZ_1_FUNKTION_1,687_EINSITZ_1,687,Kindermann_Hans_1901__,,,,,,,
691_EINSITZ_1_FUNKTION_1,691_EINSITZ_1,691,Buri_Ernst_1910__,,,,,,,
694_EINSITZ_1_FUNKTION_1,694_EINSITZ_1,694,Schmid_Benno_1934__,,,,,,,
695_EINSITZ_1_FUNKTION_1,695_EINSITZ_1,695,Siegfried_Otto_1916__,,,,,,,
700_EINSITZ_1_FUNKTION_1,700_EINSITZ_1,700,Theus_Sigisbert_1908__,,,,,,,
701_EINSITZ_1_FUNKTION_1,701_EINSITZ_1,701,Kunz_Erwin_1910__,,,,,,,
703_EINSITZ_1_FUNKTION_1,703_EINSITZ_1,703,Bertschi_Albert_1908__,,,,,,,
708_EINSITZ_1_FUNKTION_1,708_EINSITZ_1,708,Hess_Hermann_1905__,,,,,,,
709_EINSITZ_1_FUNKTION_1,709_EINSITZ_1,709,Ochsner_Jakob_Karl_1900__,,,,,,,
710_EINSITZ_1_FUNKTION_1,710_EINSITZ_1,710,Marty_Josef_1894__,,,,,,,
711_EINSITZ_1_FUNKTION_1,711_EINSITZ_1,711,Friedländer_Albert_1886__,,,,,,,
715_EINSITZ_1_FUNKTION_1,715_EINSITZ_1,715,Voser_Emil_1873__,,,,,,,
756_EINSITZ_1_FUNKTION_1,756_EINSITZ_1,756,Dörig_Werner_A._1945__,,,,,,,
757_EINSITZ_1_FUNKTION_1,757_EINSITZ_1,757,Frech_Theresa_1938__,,,,,,,
758_EINSITZ_1_FUNKTION_1,758_EINSITZ_1,758,Hünig_Markus_1946__,,,,,,,
759_EINSITZ_1_FUNKTION_1,759_EINSITZ_1,759,Rohrer_Thomas_1959__,,,,,,,
767_EINSITZ_1_FUNKTION_1,767_EINSITZ_1,767,Seyfang_Kurt_1933__,,,,,,,
769_EINSITZ_1_FUNKTION_1,769_EINSITZ_1,769,Mazzolini_Virginio_1917__,,,,,,,
770_EINSITZ_1_FUNKTION_1,770_EINSITZ_1,770,Walser_Peter_1934__,,,,,,,
772_EINSITZ_1_FUNKTION_1,772_EINSITZ_1,772,Zollinger_Hanskaspar_1937__,,,,,,,
773_EINSITZ_1_FUNKTION_1,773_EINSITZ_1,773,Brunner_Paul_1924__,,,,,,,
778_EINSITZ_1_FUNKTION_1,778_EINSITZ_1,778,Frei_Hans_1924__,,,,,,,
779_EINSITZ_1_FUNKTION_1,779_EINSITZ_1,779,Jucker_Rolf_1929__,,,,,,,
782_EINSITZ_1_FUNKTION_1,782_EINSITZ_1,782,Stocker_Josef_1913__,,,,,,,
783_EINSITZ_1_FUNKTION_1,783_EINSITZ_1,783,Senn_Julius_1924__,,,,,,,
784_EINSITZ_1_FUNKTION_1,784_EINSITZ_1,784,Wiederkehr_Lorenz_1897__,,,,,,,
786_EINSITZ_1_FUNKTION_1,786_EINSITZ_1,786,Keller_Hansjakob_1894__,,,,,,,
787_EINSITZ_1_FUNKTION_1,787_EINSITZ_1,787,Koch_Josef_1906__,,,,,,,
789_EINSITZ_1_FUNKTION_1,789_EINSITZ_1,789,Loosli_Johann_1891__,,,,,,,
793_EINSITZ_1_FUNKTION_1,793_EINSITZ_1,793,Fischer_Ernst_1902__,,,,,,,
794_EINSITZ_1_FUNKTION_1,794_EINSITZ_1,794,Müller_Max_1889__,,,,,,,
795_EINSITZ_1_FUNKTION_1,795_EINSITZ_1,795,Obrist_Emil_1907__,,,,,,,
796_EINSITZ_1_FUNKTION_1,796_EINSITZ_1,796,Gurtner_Walter_1898__,,,,,,,
823_EINSITZ_1_FUNKTION_1,823_EINSITZ_1,823,Haegi_Hans-Rudolf_1938__,,,,,,,
826_EINSITZ_1_FUNKTION_1,826_EINSITZ_1,826,Schneebeli_Otto_1929__,,,,,,,
827_EINSITZ_1_FUNKTION_1,827_EINSITZ_1,827,Lenzlinger_Martin_1937__,,,,,,,
829_EINSITZ_1_FUNKTION_1,829_EINSITZ_1,829,Nägeli_Hans_1921__,,,,,,,
834_EINSITZ_1_FUNKTION_1,834_EINSITZ_1,834,Häberling_Otto_1901__,,,,,,,
835_EINSITZ_1_FUNKTION_1,835_EINSITZ_1,835,Bögli_Willi_1908__,,,,,,,
837_EINSITZ_1_FUNKTION_1,837_EINSITZ_1,837,Schwarzenbach_Ulrich_1905__,,,,,,,
838_EINSITZ_1_FUNKTION_1,838_EINSITZ_1,838,Huber_Edwin_1897__,,,,,,,
839_EINSITZ_1_FUNKTION_1,839_EINSITZ_1,839,Gallmann_Robert_1895__,,,,,,,
840_EINSITZ_1_FUNKTION_1,840_EINSITZ_1,840,Häberling_Ernst_1890__,,,,,,,
912_EINSITZ_1_FUNKTION_1,912_EINSITZ_1,912,Gerster_Richard_1946__,,,,,,,
915_EINSITZ_1_FUNKTION_1,915_EINSITZ_1,915,Henauer_Robert_1941__,,,,,,,
928_EINSITZ_1_FUNKTION_1,928_EINSITZ_1,928,Kuster_Norbert_1936__,,,,,,,
929_EINSITZ_1_FUNKTION_1,929_EINSITZ_1,929,Maurer-Gröli_Yvonne_1943__,,,,,,,
930_EINSITZ_1_FUNKTION_1,930_EINSITZ_1,930,Zurbuchen_Walter_P._1935__,,,,,,,
934_EINSITZ_1_FUNKTION_1,934_EINSITZ_1,934,Rimann_Bernhard_1941__,,,,,,,
947_EINSITZ_1_FUNKTION_1,947_EINSITZ_1,947,Keller_Josef_1922__,,,,,,,
949_EINSITZ_1_FUNKTION_1,949_EINSITZ_1,949,Stieger_Adrian_1953__,,,,,,,
951_EINSITZ_1_FUNKTION_1,951_EINSITZ_1,951,Bosshard_Hans_1923__,,,,,,,
952_EINSITZ_1_FUNKTION_1,952_EINSITZ_1,952,Erni_Werner_1908__,,,,,,,
954_EINSITZ_1_FUNKTION_1,954_EINSITZ_1,954,Jäger_Peter_1920__,,,,,,,
955_EINSITZ_1_FUNKTION_1,955_EINSITZ_1,955,Schlapbach_Johann_1900__,,,,,,,
960_EINSITZ_1_FUNKTION_1,960_EINSITZ_1,960,Grob_Paul_1919__,,,,,,,
964_EINSITZ_1_FUNKTION_1,964_EINSITZ_1,964,Bopp_Jacques_1902__,,,,,,,
974_EINSITZ_1_FUNKTION_1,974_EINSITZ_1,974,Sorg_Arnold_1906__,,,,,,,
975_EINSITZ_1_FUNKTION_1,975_EINSITZ_1,975,Stösser_Josef_1913__,,,,,,,
976_EINSITZ_1_FUNKTION_1,976_EINSITZ_1,976,Fürst_Hans_1902__,,,,,,,
976_EINSITZ_2_FUNKTION_1,976_EINSITZ_2,976,Fürst_Hans_1902__,,,,,,,
979_EINSITZ_1_FUNKTION_1,979_EINSITZ_1,979,Gunzenhauser_Ernst_1914__,,,,,,,
980_EINSITZ_1_FUNKTION_1,980_EINSITZ_1,980,Hegetschweiler_Walter_1914__,,,,,,,
982_EINSITZ_2_FUNKTION_1,982_EINSITZ_2,982,Boos_Ernst_1901__,,,,,,,
982_EINSITZ_1_FUNKTION_1,982_EINSITZ_1,982,Boos_Ernst_1901__,,,,,,,
984_EINSITZ_1_FUNKTION_1,984_EINSITZ_1,984,Kern_Walter_1888__,,,,,,,
985_EINSITZ_1_FUNKTION_1,985_EINSITZ_1,985,Weber_Hans_1907__,,,,,,,
995_EINSITZ_1_FUNKTION_1,995_EINSITZ_1,995,Hauser-Schwarzenbach_Emil_1886__,,,,,,,
996_EINSITZ_1_FUNKTION_1,996_EINSITZ_1,996,Joss_Florin_1891__,,,,,,,
997_EINSITZ_1_FUNKTION_1,997_EINSITZ_1,997,Zwald_Karl_1875__,,,,,,,
998_EINSITZ_1_FUNKTION_1,998_EINSITZ_1,998,Bebie_Walter_1892__,,,,,,,
1004_EINSITZ_1_FUNKTION_1,1004_EINSITZ_1,1004,Berchtold_Hugo_1887__,,,,,,,
1153_EINSITZ_1_FUNKTION_1,1153_EINSITZ_1,1153,Bachofner_Jakob_1909__,,,,,,,
1160_EINSITZ_1_FUNKTION_1,1160_EINSITZ_1,1160,Keller_Rodolfo_1940__,,,,,,,
1168_EINSITZ_1_FUNKTION_1,1168_EINSITZ_1,1168,Pescatore_Antoine_1926__,,,,,,,
1181_EINSITZ_1_FUNKTION_1,1181_EINSITZ_1,1181,Pfenninger_Werner_1927__,,,,,,,
1182_EINSITZ_1_FUNKTION_1,1182_EINSITZ_1,1182,Pfenninger_Ernst_1919__,,,,,,,
1183_EINSITZ_1_FUNKTION_1,1183_EINSITZ_1,1183,Jucker_Ernst_1933__,,,,,,,
1184_EINSITZ_1_FUNKTION_1,1184_EINSITZ_1,1184,Bosshard_Ernst_1904__,,,,,,,
1185_EINSITZ_1_FUNKTION_1,1185_EINSITZ_1,1185,Alder_Hans_1900__,,,,,,,
1189_EINSITZ_1_FUNKTION_1,1189_EINSITZ_1,1189,Brüngger_Heinrich_1909__,,,,,,,
1239_EINSITZ_1_FUNKTION_1,1239_EINSITZ_1,1239,Ryser_Walter_1931__,,,,,,,
1249_EINSITZ_1_FUNKTION_1,1249_EINSITZ_1,1249,Bühler_Ernst_1932__,,,,,,,
1252_EINSITZ_1_FUNKTION_1,1252_EINSITZ_1,1252,Bochsler_Peter_1932__,,,,,,,
1254_EINSITZ_1_FUNKTION_1,1254_EINSITZ_1,1254,Gottschall_Heinz_1935__,,,,,,,
1278_EINSITZ_1_FUNKTION_1,1278_EINSITZ_1,1278,Pfister_Hans_1903__,,,,,,,
1279_EINSITZ_1_FUNKTION_1,1279_EINSITZ_1,1279,Spoerri_Gottfried_1900__,,,,,,,
1280_EINSITZ_1_FUNKTION_1,1280_EINSITZ_1,1280,Huber_Arthur_1911__,,,,,,,
1283_EINSITZ_1_FUNKTION_1,1283_EINSITZ_1,1283,Friedli_Friedrich_1900__,,,,,,,
1284_EINSITZ_1_FUNKTION_1,1284_EINSITZ_1,1284,Kunz_Ernst_1891__,,,,,,,
1285_EINSITZ_1_FUNKTION_1,1285_EINSITZ_1,1285,Hänggi_Eugen_1924__,,,,,,,
1287_EINSITZ_1_FUNKTION_1,1287_EINSITZ_1,1287,Kleb_Karl_1887__,,,,,,,
1288_EINSITZ_1_FUNKTION_1,1288_EINSITZ_1,1288,Portenier_Ernst_1898__,,,,,,,
1289_EINSITZ_1_FUNKTION_1,1289_EINSITZ_1,1289,Schnorf_Heinrich_1888__,,,,,,,
1290_EINSITZ_1_FUNKTION_1,1290_EINSITZ_1,1290,Wyss_Hans_1883__,,,,,,,
1294_EINSITZ_1_FUNKTION_1,1294_EINSITZ_1,1294,Guggenbühl_Eduard_1894__,,,,,,,
1296_EINSITZ_1_FUNKTION_1,1296_EINSITZ_1,1296,Leemann_Hans_1903__,,,,,,,
1298_EINSITZ_1_FUNKTION_1,1298_EINSITZ_1,1298,Pünter_Edwin_1891__,,,,,,,
1299_EINSITZ_1_FUNKTION_1,1299_EINSITZ_1,1299,Forrer_Karl_1894__,,,,,,,
1302_EINSITZ_1_FUNKTION_1,1302_EINSITZ_1,1302,Schaufelberger_Otto_1904__,,,,,,,
1304_EINSITZ_1_FUNKTION_1,1304_EINSITZ_1,1304,Schnorf_Rudolf_1895__,,,,,,,
1321_EINSITZ_1_FUNKTION_1,1321_EINSITZ_1,1321,Gilomen_Werner_1915__,,,,,,,
1322_EINSITZ_1_FUNKTION_1,1322_EINSITZ_1,1322,Ketterer_Paul_1912__,,,,,,,
1323_EINSITZ_1_FUNKTION_1,1323_EINSITZ_1,1323,Richner_Walter_1925__,,,,,,,
1324_EINSITZ_1_FUNKTION_1,1324_EINSITZ_1,1324,Baumgartner_Albert_1900__,,,,,,,
1326_EINSITZ_1_FUNKTION_1,1326_EINSITZ_1,1326,Eigenheer_Walter_1939__,,,,,,,
1333_EINSITZ_1_FUNKTION_1,1333_EINSITZ_1,1333,Meier_Walter_1901__,,,,,,,
1333_EINSITZ_2_FUNKTION_1,1333_EINSITZ_2,1333,Meier_Walter_1901__,,,,,,,
1343_EINSITZ_1_FUNKTION_1,1343_EINSITZ_1,1343,Schmocker_Albert_1923__,,,,,,,
1345_EINSITZ_1_FUNKTION_1,1345_EINSITZ_1,1345,Wiesendanger_Hermann_1902__,,,,,,,
1358_EINSITZ_1_FUNKTION_1,1358_EINSITZ_1,1358,Deller_Walter_1904__,,,,,,,
1361_EINSITZ_1_FUNKTION_1,1361_EINSITZ_1,1361,Frei_Karl_1913__,,,,,,,
1365_EINSITZ_1_FUNKTION_1,1365_EINSITZ_1,1365,Schalcher_Hans_1889__,,,,,,,
1366_EINSITZ_1_FUNKTION_1,1366_EINSITZ_1,1366,Flückiger_Robert_1897__,,,,,,,
1370_EINSITZ_1_FUNKTION_1,1370_EINSITZ_1,1370,Meier_Jakob_1893__,,,,,,,
1372_EINSITZ_1_FUNKTION_1,1372_EINSITZ_1,1372,Hermann_Luciano_1913__,,,,,,,
1376_EINSITZ_1_FUNKTION_1,1376_EINSITZ_1,1376,Wiesendanger_Karl_1904__,,,,,,,
1381_EINSITZ_1_FUNKTION_1,1381_EINSITZ_1,1381,Gubler_Otto_1894__,,,,,,,
1402_EINSITZ_1_FUNKTION_1,1402_EINSITZ_1,1402,Bachofner_Albert_1890__,,,,,,,
1438_EINSITZ_1_FUNKTION_1,1438_EINSITZ_1,1438,Kräuchi_Walter_1913__,,,,,,,
1440_EINSITZ_1_FUNKTION_1,1440_EINSITZ_1,1440,Müller_Otto_1899__,,,,,,,
1443_EINSITZ_1_FUNKTION_1,1443_EINSITZ_1,1443,Wegmann_Gottfried_1873__,,,,,,,
1453_EINSITZ_1_FUNKTION_1,1453_EINSITZ_1,1453,Bertschinger_Walter_1907__,,,,,,,
1469_EINSITZ_1_FUNKTION_1,1469_EINSITZ_1,1469,Baltensperger_Hans_1924__,,,,,,,
1472_EINSITZ_1_FUNKTION_1,1472_EINSITZ_1,1472,Pavesi_Hermann_1931__,,,,,,,
1479_EINSITZ_1_FUNKTION_1,1479_EINSITZ_1,1479,Lüssi_Walter_1906__,,,,,,,
1480_EINSITZ_1_FUNKTION_1,1480_EINSITZ_1,1480,Trachsler_Edwin_1921__,,,,,,,
1481_EINSITZ_1_FUNKTION_1,1481_EINSITZ_1,1481,Elsener_Otto_1928__,,,,,,,
1485_EINSITZ_1_FUNKTION_1,1485_EINSITZ_1,1485,Mörgeli_Benjamin_1890__,,,,,,,
1487_EINSITZ_1_FUNKTION_1,1487_EINSITZ_1,1487,Peter_Theodor_1910__,,,,,,,
1489_EINSITZ_1_FUNKTION_1,1489_EINSITZ_1,1489,Truninger_Max_1906__,,,,,,,
1490_EINSITZ_1_FUNKTION_1,1490_EINSITZ_1,1490,Schneider_Albert_1911__,,,,,,,
1491_EINSITZ_1_FUNKTION_1,1491_EINSITZ_1,1491,Bernhard_Johann_1890__,,,,,,,
1511_EINSITZ_1_FUNKTION_1,1511_EINSITZ_1,1511,Fauser_Walter_1902__,,,,,,,
1522_EINSITZ_1_FUNKTION_1,1522_EINSITZ_1,1522,Anderegg_Walter_1912__,,,,,,,
1568_EINSITZ_1_FUNKTION_1,1568_EINSITZ_1,1568,Bernet_Friedrich_1898_05_29,,,,,,,
1570_EINSITZ_1_FUNKTION_1,1570_EINSITZ_1,1570,Billeter_Alfred_1896_08_23,,,,,,,
1574_EINSITZ_1_FUNKTION_1,1574_EINSITZ_1,1574,Schmid_Robert_1906__,,,,,,,
1601_EINSITZ_1_FUNKTION_1,1601_EINSITZ_1,1601,Grünenfelder_Max_1935__,,,,,,,
1601_EINSITZ_2_FUNKTION_1,1601_EINSITZ_2,1601,Grünenfelder_Max_1935__,,,,,,,
1612_EINSITZ_1_FUNKTION_1,1612_EINSITZ_1,1612,Matthias_Robert_1917__,,,,,,,
1656_EINSITZ_1_FUNKTION_1,1656_EINSITZ_1,1656,Stopper_Paul_1946__,,,,,,,
1657_EINSITZ_1_FUNKTION_1,1657_EINSITZ_1,1657,Kuster_Jean-Pierre_1947__,,,,,,,
1659_EINSITZ_1_FUNKTION_1,1659_EINSITZ_1,1659,Sägesser_Rolf_1943__,,,,,,,
1661_EINSITZ_1_FUNKTION_1,1661_EINSITZ_1,1661,Schaffner_Hans_Beat_1943__,,,,,,,
1663_EINSITZ_1_FUNKTION_1,1663_EINSITZ_1,1663,Furter_Margrit_1942__,,,,,,,
1676_EINSITZ_1_FUNKTION_1,1676_EINSITZ_1,1676,Kurz_Adolf_1926__,,,,,,,
