ID_EINSITZ_NEW,ID_PERSON_NEW,ID_PERSON,RAT,DATUM_EINTRITT_TAG,DATUM_EINTRITT_MONAT,DATUM_EINTRITT_JAHR,DATUM_AUSTRITT_TAG,DATUM_AUSTRITT_MONAT,DATUM_AUSTRITT_JAHR,WAHLKREIS,QUELLEN,BEMERKUNGEN
469_EINSITZ_1,469,Schguanin_Josef_1914__,Kantonsrat,30,04,1951,08,05,1955,4. Wahlkreis (Zürich 6 + 10),,
470_EINSITZ_1,470,Wyss_Johann_1886__,Kantonsrat,29,04,1935,08,05,1955,4. Wahlkreis (Zürich 6 + 10),,
471_EINSITZ_1,471,Albrecht_Heinrich_1903__,Kantonsrat,05,05,1947,29,04,1951,4. Wahlkreis (Zürich 6 + 10),,
475_EINSITZ_1,475,Heyer_Albert_1909__,Kantonsrat,05,05,1947,11,04,1949,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von von Büren, Willy.
477_EINSITZ_1,477,Inhelder_Heinrich_1891__,Kantonsrat,03,05,1943,04,05,1947,4. Wahlkreis (Zürich 6 + 10),,
479_EINSITZ_1,479,Peter_Otto_1880__,Kantonsrat,03,05,1943,04,05,1947,4. Wahlkreis (Zürich 6 + 10),,
481_EINSITZ_1,481,Moser_Jakob_1880__,Kantonsrat,03,04,1939,02,05,1943,4. Wahlkreis (Zürich 6 + 10),,
484_EINSITZ_1,484,Marx_Paul_1886__,Kantonsrat,29,04,1935,02,04,1939,4. Wahlkreis (Zürich 6 + 10),,
486_EINSITZ_1,486,Wiesendanger_Paul_1869__,Kantonsrat,29,04,1935,02,05,1938,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Hofer, Hans.
487_EINSITZ_1,487,Zweifel_Heinrich_1904__,Kantonsrat,29,04,1935,19,09,1938,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Mathys, Heinrich.
547_EINSITZ_1,547,Brunner_Gerhard_1942__,Kantonsrat,30,05,1983,03,05,1987,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
561_EINSITZ_1,561,Sieg_Werner_1944__,Kantonsrat,26,05,1975,29,05,1983,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
562_EINSITZ_1,562,Balsiger_Rolf_1933__,Kantonsrat,26,05,1975,20,12,1976,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,Abgelöst von Gucker, Adolf.
569_EINSITZ_1,569,Vontobel_Jürg_P._1939__,Kantonsrat,08,05,1967,20,03,1978,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,Abgelöst von Bopp, Hansjürg, Dr.
575_EINSITZ_1,575,Wintsch_Hans-Ulrich_1932__,Kantonsrat,24,05,1971,25,05,1975,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
576_EINSITZ_1,576,Baur_Jakob_1917__,Kantonsrat,08,05,1967,11,05,1970,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,Abgelöst von Bockhorn, Rudolf.
578_EINSITZ_1,578,Specker_Christian_1922__,Kantonsrat,08,05,1967,23,05,1971,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
580_EINSITZ_1,580,Tanner_Paul_1919__,Kantonsrat,08,05,1967,23,05,1971,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
581_EINSITZ_1,581,Walder_Hans_Ulrich_1929__,Kantonsrat,08,05,1967,13,07,1970,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,Abgelöst von Oester, Hans, Prof. Dr.
584_EINSITZ_1,584,Grossmann_Marcel_1904__,Kantonsrat,09,05,1955,07,05,1967,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
586_EINSITZ_1,586,Mettler_Hans_1897__,Kantonsrat,30,04,1951,07,05,1967,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
587_EINSITZ_1,587,Meyer_Rolf_1910__,Kantonsrat,27,05,1963,07,05,1967,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
588_EINSITZ_1,588,Pesch_Fritz_1905__,Kantonsrat,27,05,1963,28,06,1965,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,Abgelöst von Stehrenberger, Hermann.
596_EINSITZ_1,596,Schinz_Hans_1891__,Kantonsrat,30,04,1951,26,05,1963,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
598_EINSITZ_1,598,Blanke_Fritz_1900__,Kantonsrat,09,05,1955,26,04,1959,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
599_EINSITZ_1,599,Breny_Walter_1898__,Kantonsrat,30,04,1951,26,04,1959,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
605_EINSITZ_1,605,Bürgi_Urs_1909__,Kantonsrat,30,04,1951,08,05,1955,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
608_EINSITZ_1,608,Schindler_Hans_1896__,Kantonsrat,03,05,1943,08,05,1955,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
611_EINSITZ_1,611,Wolff_Max_1893__,Kantonsrat,05,05,1947,08,09,1947,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,Abgelöst von Frey, Arthur, Dr.
612_EINSITZ_1,612,Attinger_Albert_1902__,Kantonsrat,03,05,1943,04,05,1947,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
613_EINSITZ_1,613,Eberhard_Johann_1888__,Kantonsrat,29,04,1935,04,05,1947,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
614_EINSITZ_1,614,Pruppacher_Hans_1900__,Kantonsrat,03,05,1943,04,05,1947,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,
615_EINSITZ_1,615,Stalder_Arthur_1898__,Kantonsrat,03,04,1939,29,04,1944,5. Wahlkreis (Zürich 7 + 8 + Zollikon),,Abgelöst von Rutishauser, Arnold.
624_EINSITZ_1,624,Ehrsam_Armin_1880__,Kantonsrat,13,05,1929,24,05,1933,5. Wahlkreis (Oerlikon),,Abgelöst von Strehler, Jakob.
642_EINSITZ_1,642,Büchi_Ernst_1928__,Kantonsrat,04,05,1987,07,05,1995,6. Wahlkreis (Zürich 11 + 12),,
643_EINSITZ_1,643,Gerber_Rolf_1952__,Kantonsrat,06,05,1991,30,03,1992,6. Wahlkreis (Zürich 11 + 12),,Abgelöst von Krebs, Kurt.
656_EINSITZ_1,656,Diethelm_Michael_1962__,Kantonsrat,04,05,1987,05,05,1991,6. Wahlkreis (Zürich 11 + 12),,
659_EINSITZ_1,659,Stadler_Xaver_1933__,Kantonsrat,30,04,1979,05,05,1991,6. Wahlkreis (Zürich 11 + 12),,
660_EINSITZ_1,660,Steiner_Bruno_1948__,Kantonsrat,04,05,1987,02,05,1988,6. Wahlkreis (Zürich 11 + 12),,
662_EINSITZ_1,662,Baumann_Otto_1936__,Kantonsrat,30,04,1979,26,03,1984,6. Wahlkreis (Zürich 11 + 12),,Abgelöst von Bissegger, Jürg.
676_EINSITZ_1,676,Krebs_Ernst_1935__,Kantonsrat,26,05,1975,29,04,1979,6. Wahlkreis (Zürich 11 + 12),,
680_EINSITZ_1,680,Staubli_Walter_1917__,Kantonsrat,24,05,1971,15,09,1975,6. Wahlkreis (Zürich 11 + 12),,Abgelöst von Haesler, Werner.
687_EINSITZ_1,687,Kindermann_Hans_1901__,Kantonsrat,24,05,1971,25,05,1975,6. Wahlkreis (Zürich 11 + 12),,
691_EINSITZ_1,691,Buri_Ernst_1910__,Kantonsrat,09,05,1955,23,05,1971,6. Wahlkreis (Zürich 11),,
694_EINSITZ_1,694,Schmid_Benno_1934__,Kantonsrat,08,05,1967,23,05,1971,6. Wahlkreis (Zürich 11),,
695_EINSITZ_1,695,Siegfried_Otto_1916__,Kantonsrat,09,05,1955,23,05,1971,6. Wahlkreis (Zürich 11),,
700_EINSITZ_1,700,Theus_Sigisbert_1908__,Kantonsrat,30,04,1951,07,05,1967,6. Wahlkreis (Zürich 11),,
701_EINSITZ_1,701,Kunz_Erwin_1910__,Kantonsrat,27,04,1959,31,08,1959,6. Wahlkreis (Zürich 11),,Abgelöst von Huber, Bruno.
702_EINSITZ_1,702,Wagner_Willy_1913__,Kantonsrat,30,04,1951,14,09,1959,6. Wahlkreis (Zürich 11),,Abgelöst von Cristini, Bruno.
703_EINSITZ_1,703,Bertschi_Albert_1908__,Kantonsrat,03,05,1943,15,09,1958,6. Wahlkreis (Zürich 11),,Abgelöst von Bernhard, Hermann.
707_EINSITZ_1,707,Glattfelder_Hans_1910__,Kantonsrat,30,04,1951,08,05,1955,6. Wahlkreis (Zürich 11),,
708_EINSITZ_1,708,Hess_Hermann_1905__,Kantonsrat,30,04,1951,17,09,1951,6. Wahlkreis (Zürich 11),,Abgelöst von Strehler, Jakob.
709_EINSITZ_1,709,Ochsner_Jakob_Karl_1900__,Kantonsrat,05,05,1947,08,05,1955,6. Wahlkreis (Zürich 11),,
710_EINSITZ_1,710,Marty_Josef_1894__,Kantonsrat,05,05,1947,29,04,1951,6. Wahlkreis (Zürich 11),,
711_EINSITZ_1,711,Friedländer_Albert_1886__,Kantonsrat,03,05,1943,04,05,1947,6. Wahlkreis (Zürich 11),,
712_EINSITZ_1,712,Schulthess_Hermann_1893__,Kantonsrat,03,05,1943,04,05,1947,6. Wahlkreis (Zürich 11),,
715_EINSITZ_1,715,Voser_Emil_1873__,Kantonsrat,29,04,1935,25,07,1936,6. Wahlkreis (Zürich 11),,Abgelöst von Zuppinger, Fritz.
756_EINSITZ_1,756,Dörig_Werner_A._1945__,Kantonsrat,30,05,1983,05,05,1991,7. Wahlkreis (Limmattal),,
757_EINSITZ_1,757,Frech_Theresa_1938__,Kantonsrat,30,05,1983,05,05,1991,7. Wahlkreis (Limmattal),,
758_EINSITZ_1,758,Hünig_Markus_1946__,Kantonsrat,30,04,1979,05,05,1991,7. Wahlkreis (Limmattal),,
759_EINSITZ_1,759,Rohrer_Thomas_1959__,Kantonsrat,30,05,1983,10,08,1987,7. Wahlkreis (Limmattal),,Abgelöst von Walz, Felix, Dr.
761_EINSITZ_1,761,Wehrli_Martin_1931__,Kantonsrat,30,05,1983,05,05,1991,7. Wahlkreis (Limmattal),,
764_EINSITZ_1,764,Achermann_Marcel_1939__,Kantonsrat,30,04,1979,29,05,1983,7. Wahlkreis (Limmattal),,
767_EINSITZ_1,767,Seyfang_Kurt_1933__,Kantonsrat,26,05,1975,29,05,1983,7. Wahlkreis (Limmattal),,
769_EINSITZ_1,769,Mazzolini_Virginio_1917__,Kantonsrat,26,05,1975,29,04,1979,7. Wahlkreis (Limmattal),,
770_EINSITZ_1,770,Walser_Peter_1934__,Kantonsrat,26,05,1975,29,04,1979,7. Wahlkreis (Limmattal),,
772_EINSITZ_1,772,Zollinger_Hanskaspar_1937__,Kantonsrat,26,05,1975,29,04,1979,7. Wahlkreis (Limmattal),,
773_EINSITZ_1,773,Brunner_Paul_1924__,Kantonsrat,08,05,1967,25,05,1975,7. Wahlkreis (Limmattal),,
775_EINSITZ_1,775,Ingold_Hans_1923__,Kantonsrat,24,05,1971,25,05,1975,7. Wahlkreis (Limmattal),,
777_EINSITZ_1,777,Schlumpf_Alfred_1918__,Kantonsrat,24,05,1971,25,05,1975,7. Wahlkreis (Limmattal),,
