ID_BUERGERORT_NEW,ID_PERSON_NEW,ID_PERSON,ORT,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
1185_BUERGERORT_1,1185,Alder_Hans_1900__,,,,,,,
1189_BUERGERORT_1,1189,Brüngger_Heinrich_1909__,,,,,,,
1239_BUERGERORT_1,1239,Ryser_Walter_1931__,,,,,,,
1249_BUERGERORT_1,1249,Bühler_Ernst_1932__,,,,,,,
1252_BUERGERORT_1,1252,Bochsler_Peter_1932__,,,,,,,
1254_BUERGERORT_1,1254,Gottschall_Heinz_1935__,,,,,,,
1278_BUERGERORT_1,1278,Pfister_Hans_1903__,,,,,,,
1279_BUERGERORT_1,1279,Spoerri_Gottfried_1900__,,,,,,,
1280_BUERGERORT_1,1280,Huber_Arthur_1911__,,,,,,,
1283_BUERGERORT_1,1283,Friedli_Friedrich_1900__,,,,,,,
1284_BUERGERORT_1,1284,Kunz_Ernst_1891__,,,,,,,
1285_BUERGERORT_1,1285,Hänggi_Eugen_1924__,,,,,,,
1287_BUERGERORT_1,1287,Kleb_Karl_1887__,,,,,,,
1288_BUERGERORT_1,1288,Portenier_Ernst_1898__,,,,,,,
1289_BUERGERORT_1,1289,Schnorf_Heinrich_1888__,,,,,,,
1290_BUERGERORT_1,1290,Wyss_Hans_1883__,,,,,,,
1294_BUERGERORT_1,1294,Guggenbühl_Eduard_1894__,,,,,,,
1296_BUERGERORT_1,1296,Leemann_Hans_1903__,,,,,,,
1298_BUERGERORT_1,1298,Pünter_Edwin_1891__,,,,,,,
1299_BUERGERORT_1,1299,Forrer_Karl_1894__,,,,,,,
1302_BUERGERORT_1,1302,Schaufelberger_Otto_1904__,,,,,,,
1304_BUERGERORT_1,1304,Schnorf_Rudolf_1895__,,,,,,,
1321_BUERGERORT_1,1321,Gilomen_Werner_1915__,,,,,,,
1322_BUERGERORT_1,1322,Ketterer_Paul_1912__,,,,,,,
1323_BUERGERORT_1,1323,Richner_Walter_1925__,,,,,,,
1324_BUERGERORT_1,1324,Baumgartner_Albert_1900__,,,,,,,
1326_BUERGERORT_1,1326,Eigenheer_Walter_1939__,,,,,,,
1333_BUERGERORT_1,1333,Meier_Walter_1901__,,,,,,,
