ID_BINDUNG_NEW,ID_PERSON_NEW,ID_PERSON,BINDUNGSKATEGORIE,INSTITUTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
9340_BINDUNG_1,9340,Schaufelberger_Heinrich_1867__,,,,,,,,
9342_BINDUNG_1,9342,Brändlin_August_1863__,,,,,,,,
9346_BINDUNG_1,9346,Graf_Johannes_1839__,,,,,,,,
9369_BINDUNG_1,9369,Honegger_Adolf_1849__,,,,,,,,
9370_BINDUNG_1,9370,Weber_Albert_1863__,,,,,,,,
9371_BINDUNG_1,9371,Müdespacher_Emil_1857__,,,,,,,,
9378_BINDUNG_1,9378,Kunz_Jakob___,,,,,,,,
9383_BINDUNG_1,9383,Weilenmann_Eugen_1848__,,,,,,,,
9398_BINDUNG_1,9398,Stutz_Rudolf_Eduard_1868__,,,,,,,,
9506_BINDUNG_1,9506,Bosshart_Eduard_1859__,,,,,,,,
9532_BINDUNG_1,9532,Spahn_Emil_1850__,,,,,,,,
9536_BINDUNG_1,9536,Gisler_Arnold_1855__,,,,,,,,
9538_BINDUNG_1,9538,Baur_Jakob_1860__,,,,,,,,
9542_BINDUNG_1,9542,Rutschmann_Johann_1853__,,,,,,,,
9543_BINDUNG_1,9543,Graf_Johann_Jakob_1854__,,,,,,,,
9545_BINDUNG_1,9545,Neukom_Albert_1867__,,,,,,,,
9551_BINDUNG_1,9551,Surber_Heinrich_1846__,,,,,,,,
9558_BINDUNG_1,9558,Ganz_Konrad_1862__,,,,,,,,
9562_BINDUNG_1,9562,Benz_Alfred_1867__,,,,,,,,
9574_BINDUNG_1,9574,Kunz_Heinrich_1842__,,,,,,,,
9575_BINDUNG_1,9575,Kunz_Julius_1860__,,,,,,,,
9576_BINDUNG_1,9576,Widmer_Franz_1847__,,,,,,,,
9583_BINDUNG_1,9583,Dübendorfer_Hans_1878__,,,,,,,,
9584_BINDUNG_3,9584,Cornaz_Jean-Luc_1959_07_01,,Swissdec AG,,,,,,
